Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Mississippi,Leflore County,Female Breast,Female,123.6,108,81177
Mississippi,Rankin County,Female Breast,Female,116.6,513,383461
Mississippi,Tallahatchie County,Female Breast,Female,119.7,47,32964
Mississippi,Covington County,Female Breast,Female,114.1,69,49276
Mississippi,Sunflower County,Female Breast,Female,140.6,100,64766
Mississippi,Tippah County,Female Breast,Female,138.4,95,55980
Mississippi,Tishomingo County,Female Breast,Female,131.1,94,50258
Mississippi,Yalobusha County,Female Breast,Female,165.4,73,32339
Mississippi,Yazoo County,Female Breast,Female,145.5,103,62233
Mississippi,Chickasaw County,Female Breast,Female,132,75,44681
Mississippi,Sharkey County,Female Breast,Female,Data Suppressed,Data Suppressed,12301
Mississippi,Stone County,Female Breast,Female,133.3,70,44632
Mississippi,Pearl River County,Female Breast,Female,130.7,234,139277
Mississippi,Marshall County,Female Breast,Female,119,136,91296
Mississippi,Pike County,Female Breast,Female,116.6,149,104782
Mississippi,Benton County,Female Breast,Female,Data Suppressed,Data Suppressed,21134
Mississippi,Bolivar County,Female Breast,Female,145.1,141,89224
Mississippi,Greene County,Female Breast,Female,126.2,43,28992
Mississippi,Humphreys County,Female Breast,Female,115.3,34,23312
Mississippi,Jefferson Davis County,Female Breast,Female,127.9,54,30888
Mississippi,Jones County,Female Breast,Female,114.6,253,175573
Mississippi,Oktibbeha County,Female Breast,Female,131,133,122814
Mississippi,Jefferson County,Female Breast,Female,124.2,28,19039
Mississippi,Lawrence County,Female Breast,Female,125.5,52,32387
Mississippi,Claiborne County,Female Breast,Female,118.8,31,24194
Mississippi,Jackson County,Female Breast,Female,119.2,504,357555
Mississippi,Jasper County,Female Breast,Female,121.2,66,42708
Mississippi,Calhoun County,Female Breast,Female,152.9,77,38273
Mississippi,Madison County,Female Breast,Female,138.1,394,262741
Mississippi,Copiah County,Female Breast,Female,130.6,115,74775
Mississippi,Monroe County,Female Breast,Female,131.4,162,94262
Mississippi,Itawamba County,Female Breast,Female,121.3,91,59454
Mississippi,Montgomery County,Female Breast,Female,117.9,41,27222
Mississippi,Coahoma County,Female Breast,Female,129.3,93,66767
Mississippi,Hinds County,Female Breast,Female,122.6,858,651718
Mississippi,Forrest County,Female Breast,Female,123.9,249,198848
Mississippi,Harrison County,Female Breast,Female,116.3,654,501100
Mississippi,Holmes County,Female Breast,Female,130.5,66,48515
Mississippi,Issaquena County,Female Breast,Female,Data Suppressed,Data Suppressed,2846
Mississippi,Lafayette County,Female Breast,Female,120.4,147,132767
Mississippi,Lamar County,Female Breast,Female,123.5,200,155163
Mississippi,Adams County,Female Breast,Female,115,123,78574
Mississippi,Alcorn County,Female Breast,Female,113.9,141,95050
Mississippi,Walthall County,Female Breast,Female,125,64,38224
Mississippi,Webster County,Female Breast,Female,131.1,46,25337
Mississippi,Grenada County,Female Breast,Female,132.9,92,56410
Indiana,Ohio County,Female Breast,Female,66.7,16,14934
Indiana,Steuben County,Female Breast,Female,75.1,86,84808
Indiana,Martin County,Female Breast,Female,83.1,32,25321
Indiana,Miami County,Female Breast,Female,84.7,97,83985
Indiana,Carroll County,Female Breast,Female,87.9,64,50270
Indiana,Fayette County,Female Breast,Female,86,72,59728
Indiana,Clinton County,Female Breast,Female,97.3,100,82362
Indiana,Scott County,Female Breast,Female,96.5,73,60151
Indiana,Union County,Female Breast,Female,91.2,25,18315
Indiana,Washington County,Female Breast,Female,91.8,80,69726
Indiana,Starke County,Female Breast,Female,97.6,75,57911
Indiana,Brown County,Female Breast,Female,94.3,58,37773
Indiana,Decatur County,Female Breast,Female,89.6,78,66433
Indiana,Ripley County,Female Breast,Female,94.2,90,71886
Indiana,Vermillion County,Female Breast,Female,99.6,55,39587
Indiana,Wabash County,Female Breast,Female,108,118,82419
Indiana,Daviess County,Female Breast,Female,101.9,98,81413
Indiana,Owen County,Female Breast,Female,107.1,78,52343
Indiana,Marshall County,Female Breast,Female,102.6,154,117924
Indiana,Switzerland County,Female Breast,Female,106.3,35,25811
Indiana,Perry County,Female Breast,Female,105,64,44799
