Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Virginia,Highland County,Female Breast,Female,150.1,16,5551
Virginia,Isle of Wight County,Female Breast,Female,148.5,185,91458
Virginia,Clarke County,Female Breast,Female,143.6,73,35896
Virginia,Halifax County with South Boston City,Female Breast,Female,134.1,169,92030
Virginia,Hanover County,Female Breast,Female,153.8,512,260055
Virginia,King and Queen County,Female Breast,Female,136.3,34,17484
Virginia,Louisa County,Female Breast,Female,130.7,152,87067
Virginia,Greene County,Female Breast,Female,150,88,48584
Virginia,Dickenson County,Female Breast,Female,117.5,64,37959
Virginia,Fauquier County,Female Breast,Female,117,247,171258
Virginia,Lancaster County,Female Breast,Female,120.8,68,28913
Virginia,Loudoun County,Female Breast,Female,130.5,1140,915129
Virginia,King William County,Female Breast,Female,139.6,73,41343
Virginia,Middlesex County,Female Breast,Female,143.9,65,27194
Virginia,Chesterfield County,Female Breast,Female,130.9,1315,859663
Virginia,Essex County,Female Breast,Female,169.3,66,29465
Virginia,Gloucester County,Female Breast,Female,128.6,167,93501
Virginia,Frederick County,Female Breast,Female,124.1,317,207432
Virginia,Lunenburg County,Female Breast,Female,147.4,65,29343
Virginia,Franklin City,Female Breast,Female,153.2,40,23028
Virginia,Buckingham County,Female Breast,Female,115.4,62,38471
Virginia,Caroline County,Female Breast,Female,120.9,115,75076
Virginia,Galax City,Female Breast,Female,123.1,29,18222
